"","brand","model","processor_brand","processor_name","processor_gnrtn","processor_gnrtn_isBAD","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","display_size_isBAD","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews","latest_price_cat"
"780","MSI","Modern","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",886.935483870968,69990,21,4.4,1410,203,"mid"
"781","acer","Aspire","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",806.290322580645,72990,31,4.4,47,6,"mid"
"783","acer","Aspire","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","No",806.290322580645,64990,23,4.5,6,1,"mid"
"784","HP","14s","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",846.774193548387,60000,12,4.3,741,67,"mid"
"785","Vaio","E","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,2,"No","Yes",799.838709677419,66990,25,4.1,700,144,"mid"
"786","ASUS","Ryzen","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",806.290322580645,64990,23,4.5,14,2,"mid"
"789","Lenovo","IDEAPAD","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","32-bit",0,"Casual",15.1220212765957,1,1,"No","No",966.129032258065,62200,3,3.7,3,0,"mid"
"790","HP","15s","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",880.483870967742,59990,9,4.4,349,69,"mid"
"792","HP","Ryzen","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",836.935483870968,58657,11,4.3,519,48,"mid"
"793","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",0,"Casual",17.3,0,1,"No","No",1258.06451612903,78990,1,2.7,3,0,"mid"
"794","Vaio","E","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,2,"No","Yes",822.41935483871,66990,23,4.1,700,144,"mid"
"795","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",967.725806451613,74839,19,4.1,19,1,"mid"
"796","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Gaming",15.6,0,1,"No","Yes",1048.22580645161,69990,7,3.8,8,1,"mid"
"797","DELL","Ryzen","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",1024,0,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",933.870967741935,78900,26,4.7,3,1,"mid"
"799","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",0,1024,"Windows","64-bit",4,"Gaming",15.1220212765957,1,1,"No","No",967.58064516129,68192,12,4.1,1480,151,"mid"
"800","DELL","Inspiron","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",256,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",798.225806451613,66396,25,4,31,3,"mid"
"801","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",256,1024,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",886.935483870968,78990,30,4.5,18,3,"mid"
